0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
-722,-722
-1229,-1229
-722,-722
380,380
1169,1169
994,994
0,0
-994,-994
-1169,-1169
-380,-380
722,722
1229,1229
722,722
-380,-380
-1169,-1169
-994,-994
0,0
994,994
1169,1169
380,380
